Person A,Person B,A -> B Relationship,
سید روح‌الله خمینی,خدیجه ثقفی,Husband,
سید روح‌الله خمینی,سید احمد خمینی,Father,
سید روح‌الله خمینی,سید مصطفی خمینی,Father,
سید روح‌الله خمینی,صدیقه مصطفوی,Father,
سید روح‌الله خمینی,فریده مصطفوی,Father,
سید روح‌الله خمینی,زهرا مصطفوی,Father,
سید روح‌الله خمینی,سید حسن خمینی,Grandfather,
سید روح‌الله خمینی,سید علی خمینی,Grandfather,
سید روح‌الله خمینی,سید حسین خمینی,Grandfather,
سید روح‌الله خمینی,سید یاسر خمینی,Grandfather,
سید روح‌الله خمینی,لیلی بروجردی,Grandfather,
سید روح‌الله خمینی,مسیح بروجردی,Grandfather,
سید روح‌الله خمینی,نعیمه اشراقی,Grandfather,
سید روح‌الله خمینی,نفیسه اشراقی,Grandfather,
سید روح‌الله خمینی,زهرا اشراقی,Grandfather,
سید روح‌الله خمینی,علی اشراقی,Grandfather,
سید روح‌الله خمینی,عاطفه اشراقی,Grandfather,
سید روح‌الله خمینی,محمدتقی اشراقی,Grandfather,
سید روح‌الله خمینی,مرتضی اشراقی,Grandfather,
سید روح‌الله خمینی,زهراسادات روحانی,Grand grandfather,
سید روح‌الله خمینی,محمود بروجردی,Wife's father,
سید روح‌الله خمینی,محمدحسن اعرابی,Wife's father,
سید روح‌الله خمینی,شهاب‌الدین اشراقی,Wife's father,
سید احمد خمینی,سید روح‌الله خمینی,Son,
سید احمد خمینی,سیده فاطمه طباطبایی,Husband,
سید احمد خمینی,سید حسن خمینی,Father,
سید احمد خمینی,سید علی خمینی,Father,
سید احمد خمینی,سید یاسر خمینی,Father,
سید احمد خمینی,محمدباقر طباطبایی,Daughter's husband,
سید احمد خمینی,سید صادق طباطبایی,Sister's husband,
سید احمد خمینی,سید مرتضی طباطبایی,Sister's husband,
سید احمد خمینی,سید محمد صدر,Daughter's husband's father,
سید حسن خمینی,سید روح‌الله خمینی,Grandson,
سید حسن خمینی,سید احمد خمینی,Son,
سید حسن خمینی,سید علی خمینی,Brother,
سید حسن خمینی,سید یاسر خمینی,Brother,
سید حسن خمینی,سید محمد موسوی بجنوردی,Daughter's husband,
سید حسن خمینی,ندا موسوی بجنوردی,Husband,
سید مصطفی خمینی,سید روح‌الله خمینی,Son,
سید مصطفی خمینی,سید حسین خمینی,Father,
سید مصطفی خمینی,سیده مریم خمینی,Father,
سید مصطفی خمینی,مرتضی حائری یزدی,Daughter's husband,
سید یاسر خمینی,سید روح‌الله خمینی,Grandson,
سید یاسر خمینی,سید احمد خمینی,Son,
سید یاسر خمینی,سید حسن خمینی,Brother,
سید یاسر خمینی,سید علی خمینی,Brother,
سید یاسر خمینی,سید محمد صدر,Daughter's husband,
سید یاسر خمینی,سیده حورا صدر,Husband,
سیدعلی خمینی,سید احمد خمینی,Son,
سیدعلی خمینی,سید روح‌الله خمینی,Grandson,
سیدعلی خمینی,سید حسن خمینی,Brother,
سیدعلی خمینی,سید یاسر خمینی,Brother,
سیدعلی خمینی,آیت‌الله شهرستانی,Daughter's husband,
سیدعلی خمینی,آیت‌الله سیدعلی سیستانی,Granddaughter's husband,
فرشته اعرابی,سید روح‌الله خمینی,Granddaughter,
فرشته اعرابی,فریده مصطفوی,Daughter,
فرشته اعرابی,محمدحسن اعرابی,Daughter,
فرشته اعرابی,سید مرتضی طباطبایی,Wife,
فرشته اعرابی,سید عمادالدین طباطبایی,Mother,
فرشته اعرابی,سید حسین طباطبایی,Mother,
نعیمه اشراقی,سید روح‌الله خمینی,Granddaughter,
نعیمه اشراقی,شهاب‌الدین اشراقی,Daughter,
نعیمه اشراقی,صدیقه مصطفوی,Daughter,
نعیمه اشراقی,سید جلال الدین طاهری اصفهانی,Son's wife,
نعیمه اشراقی,سید محمدحسن طاهری,Wife,
شهاب‌الدین اشراقی,سید روح‌الله خمینی,Daughter's husband,
شهاب‌الدین اشراقی,صدیقه مصطفوی,Husband,
شهاب‌الدین اشراقی,نعیمه اشراقی,Father,
شهاب‌الدین اشراقی,نفیسه اشراقی,Father,
شهاب‌الدین اشراقی,زهرا اشراقی,Father,
شهاب‌الدین اشراقی,علی اشراقی,Father,
شهاب‌الدین اشراقی,عاطفه اشراقی,Father,
شهاب‌الدین اشراقی,مرتضی اشراقی,Father,
شهاب‌الدین اشراقی,محمدتقی اشراقی,Father,
مرتضی اشراقی,سید روح‌الله خمینی,Grandson,
مرتضی اشراقی,محمدرضا خاتمی,Wife's brother,
مرتضی اشراقی,سید مصطفی محقق داماد,Granddaughter's husband,
نفیسه اشراقی,سید روح‌الله خمینی,Granddaughter,
نفیسه اشراقی,صدیقه مصطفوی,Daughter,
نفیسه اشراقی,محمدصادق روحانی,Son's wife,
زهرا اشراقی,محمدرضا خاتمی,Wife,
زهرا اشراقی,سید روح الله خمینی,Granddaughter,
زهرا اشراقی,صدیقه مصطفوی,Daughter,
زهرا اشراقی,شهاب الدین اشراقی,Daughter,
زهرا اشراقی,سید مسعود خامنه‌ای,Wife's brother's son's wife's mother (مادر عروس برادرزن),
محمود بروجردی,سید روح‌الله خمینی,Daughter's husband,
محمود بروجردی,زهرا مصطفوی,Husband,
محمود بروجردی,مسیح بروجردی,Father,
محمود بروجردی,لیلی بروجردی,Father,
محمود بروجردی,سیده هدی طباطبایی,Grandfather,
لیلی بروجردی,نوه‌ی سید روح‌الله خمینی,Granddaughter,
لیلی بروجردی,محمود بروجردی,Daughter,
لیلی بروجردی,زهرا مصطفوی,Daughter,
لیلی بروجردی,مسیح بروجردی,Sister,
لیلی بروجردی,سید عبدالحسین طباطبایی سلطانی,Wife,
لیلی بروجردی,سیده هدی طباطبایی,Mother,
لیلی بروجردی,سیده ضحی طباطبایی,Mother,
لیلی بروجردی,محسن رضایی,Son's wife's mother (مادرعروس),
مسیح بروجردی,سید روح‌الله خمینی,Granddaughter,
مسیح بروجردی,محمود بروجردی,Son,
مسیح بروجردی,زهرا مصطفوی,Son,
مسیح بروجردی,لیلی بروجردی,Brother,
مسیح بروجردی,سید محمد میرمحمدی زرندی,Daughter's husband,
مرتضی حائری یزدی,عبدالکریم حائری یزدی,Son,
